First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|fonts|map/fontname|texfonts.map|99.558
texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|87.948
texmf-dist|tex|latex/amsfonts|amsfonts.sty|87.846
texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|87.798
texmf-dist|fonts|tfm/public/cm|cmr6.tfm|87.698
texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|86.926
texmf-dist|fonts|tfm/public/cm|cmr8.tfm|86.843
texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|86.688
texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|85.827
texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|85.734
texmf-dist|tex|latex/amsfonts|umsa.fd|84.844
texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|84.718
texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|84.675
texmf-dist|tex|latex/amsfonts|umsb.fd|84.450
texmf-dist|tex|latex/amsfonts|amssymb.sty|82.135
texmf-var|web2c|pdftex|latex.fmt|82.085
texmf-dist|tex|latex/amsmath|amsgen.sty|80.743
texmf-dist|tex|latex/amsmath|amstext.sty|80.395
texmf-dist|tex|latex/graphics|keyval.sty|80.380
texmf-dist|tex|latex/amsmath|amsbsy.sty|80.364
texmf-dist|tex|latex/amsmath|amsopn.sty|80.207
texmf-dist|tex|latex/amsmath|amsmath.sty|80.184
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|79.411
texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|78.525
texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|78.459
texmf-dist|tex|latex/graphics|trig.sty|76.773
texmf-dist|tex|latex/graphics|graphics.sty|76.717
texmf-dist|fonts|tfm/public/cm|cmr12.tfm|76.186
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|75.557
texmf-dist|tex|latex/graphics|graphicx.sty|75.175
texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|73.028
texmf-dist|tex|latex/latexconfig|graphics.cfg|67.986
texmf-dist|fonts|tfm/public/cm|cmti10.tfm|66.802
texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|64.866
