Main document class|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
article|texmf-dist|tex|latex/base|article.cls|33.634
article|texmf-dist|fonts|map/fontname|texfonts.map|33.394
article|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|32.367
article|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|31.617
article|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|31.598
article|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|31.579
article|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|31.477
article|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|31.458
article|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|31.435
article|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|31.425
article|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|30.212
article|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|29.480
article|texmf-var|web2c|pdftex|latex.fmt|28.746
article|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|28.173
article|texmf-dist|tex|latex/amsfonts|amsfonts.sty|28.129
article|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|27.942
article|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|27.799
article|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|27.708
article|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|27.676
article|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|27.488
article|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|27.439
article|texmf-dist|tex|latex/amsfonts|umsb.fd|27.332
article|texmf-dist|tex|latex/amsfonts|umsa.fd|27.326
article|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|27.182
article|texmf-dist|tex|latex/amsmath|amsgen.sty|27.121
article|texmf-dist|tex|latex/amsmath|amsbsy.sty|26.977
article|texmf-dist|tex|latex/amsmath|amstext.sty|26.958
article|texmf-dist|tex|latex/amsmath|amsopn.sty|26.911
article|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|26.907
article|texmf-dist|tex|latex/amsmath|amsmath.sty|26.900
article|texmf-dist|tex|latex/amsfonts|amssymb.sty|26.132
elsarticle|texmf-dist|tex|latex/natbib|natbib.sty|25.263
elsarticle|texmf-dist|tex|latex/graphics|keyval.sty|25.250
elsarticle|texmf-dist|tex|latex/psnfss|upsy.fd|25.244
elsarticle|texmf-dist|tex|latex/psnfss|pifont.sty|25.244
elsarticle|texmf-dist|tex|latex/psnfss|upzd.fd|25.244
elsarticle|texmf-dist|tex|latex/graphics|trig.sty|25.238
elsarticle|texmf-dist|tex|latex/graphics|graphicx.sty|25.235
elsarticle|texmf-dist|tex|latex/graphics|graphics.sty|25.233
elsarticle|texmf-dist|tex|latex/base|article.cls|25.173
elsarticle|texmf-dist|fonts|map/fontname|texfonts.map|25.131
article|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|24.438
article|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|24.389
elsarticle|texmf-var|tex|latex/elsarticle|elsarticle.cls|24.146
elsarticle|texmf-dist|tex|latex/latexconfig|graphics.cfg|24.116
elsarticle|texmf-dist|tex|latex/amsfonts|amsfonts.sty|23.254
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|22.973
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|22.962
article|texmf-dist|tex|latex/graphics|keyval.sty|22.909
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|22.659
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|22.653
elsarticle|texmf-dist|tex|latex/amsfonts|amssymb.sty|22.638
elsarticle|texmf-dist|tex|latex/amsfonts|umsb.fd|22.624
elsarticle|texmf-dist|tex|latex/amsfonts|umsa.fd|22.620
article|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|22.158
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|22.158
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|22.151
